#,Company,Symbol,Weight,      Price,Chg,% Chg
51,QUALCOMM Incorporated,QCOM,0.402663,   119.41,0.2,-0.0017
52,AT&T Inc.,T,0.401228,   18.48,0,0
53,Elevance Health Inc.,ELV,0.398916,   547.20,3.55,-0.0065
54,Lowe's Companies Inc.,LOW,0.386941,   198.69,-0.04,(-0.02%)
55,Union Pacific Corporation,UNP,0.382528,   198.65,0,0
56,United Parcel Service Inc. Class B,UPS,0.381014,   167.17,0,0
57,International Business Machines Corporation,IBM,0.380503,   138.58,0.07,-0.0005
58,CVS Health Corporation,CVS,0.38044,   94.19,0,0
59,Intuit Inc.,INTU,0.371419,   432.04,0.25,-0.0006
60,Charles Schwab Corp,SCHW,0.369113,   80.19,0,0
61,Goldman Sachs Group Inc.,GS,0.359628,   342.50,0.68,-0.002
62,NIKE Inc. Class B,NKE,0.357643,   94.20,0.37,-0.0039
63,Oracle Corporation,ORCL,0.356857,   77.39,0.03,-0.0004
64,Medtronic Plc,MDT,0.355428,   86.62,-0.2,(-0.23%)
65,Caterpillar Inc.,CAT,0.350098,   219.40,0.06,-0.0003
66,Lockheed Martin Corporation,LMT,0.348309,   484.87,0,0
67,Deere & Company,DE,0.342742,   396.01,-0.84,(-0.21%)
68,S&P Global Inc.,SPGI,0.340088,   326.93,0,0
69,Morgan Stanley,MS,0.337781,   82.27,0.05,-0.0006
70,Intel Corporation,INTC,0.33719,   29.13,0.06,-0.0021
71,Prologis Inc.,PLD,0.318604,   112.98,0,0
72,PayPal Holdings Inc.,PYPL,0.31628,   86.75,0.5,-0.0058
73,BlackRock Inc.,BLK,0.305818,   663.74,-0.01,(-0.00%)
74,Automatic Data Processing Inc.,ADP,0.305135,   242.65,0.01,0
75,Starbucks Corporation,SBUX,0.304937,   86.85,-0.25,(-0.29%)
76,Cigna Corporation,CI,0.301977,   324.85,0.09,-0.0003
77,Advanced Micro Devices Inc.,AMD,0.295904,   62.45,0.44,-0.0071
78,American Tower Corporation,AMT,0.289176,   207.45,2.74,-0.0134
79,American Express Company,AXP,0.275571,   150.44,0,0
80,Gilead Sciences Inc.,GILD,0.275045,   79.46,0.19,-0.0024
81,Citigroup Inc.,C,0.27498,   46.16,0.03,-0.0007
82,Chubb Limited,CB,0.270946,   214.50,0,0
83,Intuitive Surgical Inc.,ISRG,0.270348,   244.50,0.34,-0.0014
84,T-Mobile US Inc.,TMUS,0.264637,   151.23,0.23,-0.0015
85,TJX Companies Inc,TJX,0.263187,   72.50,0,0
86,ServiceNow Inc.,NOW,0.262513,   420.40,0,0
87,General Electric Company,GE,0.259701,   78.22,-0.11,(-0.14%)
88,Mondelez International Inc. Class A,MDLZ,0.258402,   62.00,0.3,-0.0049
89,Altria Group Inc,MO,0.255696,   46.46,0.15,-0.0032
90,EOG Resources Inc.,EOG,0.246159,   134.35,0.66,-0.0049
91,Boeing Company,BA,0.243879,   144.20,0.36,-0.0025
92,Northrop Grumman Corp.,NOC,0.243185,   555.66,7.55,-0.0138
93,Regeneron Pharmaceuticals Inc.,REGN,0.242852,   754.96,4.2,-0.0056
94,Marsh & McLennan Companies Inc.,MMC,0.242116,   163.00,-0.74,(-0.45%)
95,Target Corporation,TGT,0.241938,   167.19,-0.33,(-0.20%)
96,Stryker Corporation,SYK,0.240274,   229.23,0,0
97,Applied Materials Inc.,AMAT,0.235345,   90.17,0.45,-0.005
98,Vertex Pharmaceuticals Incorporated,VRTX,0.230805,   315.00,1.11,-0.0035
99,Analog Devices Inc.,ADI,0.228643,   143.10,-1.78,(-1.23%)
100,Booking Holdings Inc.,BKNG,0.227858,"   1,877.01",5.29,-0.0028
101,Schlumberger NV,SLB,0.227681,   50.45,0,0
102,Progressive Corporation,PGR,0.22672,   129.70,0,0
103,Zoetis Inc. Class A,ZTS,0.220946,   153.28,0,0
104,Duke Energy Corporation,DUK,0.218448,   94.00,0,0
105,Southern Company,SO,0.216563,   66.34,0,0
106,Humana Inc.,HUM,0.214651,   554.70,-0.13,(-0.02%)
107,3M Company,MMM,0.211852,   126.71,0.11,-0.0009
108,PNC Financial Services Group Inc.,PNC,0.206322,   162.87,0,0
109,Becton Dickinson and Company,BDX,0.206098,   237.50,2.24,-0.0095
110,Pioneer Natural Resources Company,PXD,0.198308,   258.00,0.69,-0.0027
111,Fiserv Inc.,FISV,0.19756,   101.25,-1.35,(-1.32%)
112,CME Group Inc. Class A,CME,0.193,   175.63,0.88,-0.005
113,CSX Corporation,CSX,0.192842,   29.40,0.18,-0.0062
114,Colgate-Palmolive Company,CL,0.191263,   74.65,0.01,-0.0001
115,Waste Management Inc.,WM,0.186138,   158.78,0.87,-0.0055
116,Aon Plc Class A,AON,0.185968,   289.20,0,0
117,Boston Scientific Corporation,BSX,0.185276,   43.16,0,0
118,Eaton Corp. Plc,ETN,0.182644,   150.28,0,0
